Identifier	matchCounts
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000051951	6
ENSMUSG00000103377	2
ENSMUSG00000104017	0
ENSMUSG00000103025	0
ENSMUSG00000089699	0
ENSMUSG00000103201	0
ENSMUSG00000103161	1
ENSMUSG00000102331	1
ENSMUSG00000102348	0
ENSMUSG00000102592	0
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000025900	0
ENSMUSG00000104123	0
ENSMUSG00000025902	88
ENSMUSG00000104238	6
ENSMUSG00000096126	0
ENSMUSG00000104328	1
ENSMUSG00000088000	3
ENSMUSG00000033845	469
ENSMUSG00000102275	11
ENSMUSG00000025903	735
ENSMUSG00000104217	584
ENSMUSG00000033813	959
ENSMUSG00000103280	0
ENSMUSG00000002459	2
ENSMUSG00000102653	1
ENSMUSG00000085623	0
ENSMUSG00000033793	796
ENSMUSG00000104046	0
ENSMUSG00000102907	0
ENSMUSG00000025905	0
ENSMUSG00000093015	0
ENSMUSG00000103519	3
ENSMUSG00000033774	0
ENSMUSG00000025907	1968
ENSMUSG00000090031	260
ENSMUSG00000087247	0
ENSMUSG00000033740	99
ENSMUSG00000103329	0
ENSMUSG00000051285	1296
ENSMUSG00000103509	410
ENSMUSG00000077244	0
ENSMUSG00000097797	17
ENSMUSG00000103067	0
ENSMUSG00000025909	58
ENSMUSG00000102647	0
ENSMUSG00000102253	1
ENSMUSG00000093970	0
ENSMUSG00000103884	1
ENSMUSG00000076135	7
ENSMUSG00000102316	6
ENSMUSG00000102871	0
ENSMUSG00000065625	0
ENSMUSG00000061024	230
ENSMUSG00000025911	34
ENSMUSG00000079671	25
ENSMUSG00000067879	0
ENSMUSG00000099827	0
ENSMUSG00000025912	125
ENSMUSG00000045210	1910
ENSMUSG00000097893	0
ENSMUSG00000025915	1105
ENSMUSG00000088916	0
ENSMUSG00000046101	15
ENSMUSG00000098234	259
ENSMUSG00000093178	19
ENSMUSG00000099032	13
ENSMUSG00000104025	0
ENSMUSG00000025916	3
ENSMUSG00000087199	0
ENSMUSG00000095780	0
ENSMUSG00000025917	518
ENSMUSG00000056763	1068
ENSMUSG00000102356	0
ENSMUSG00000067851	3437
ENSMUSG00000088153	0
ENSMUSG00000102556	69
ENSMUSG00000042501	2
ENSMUSG00000103810	0
ENSMUSG00000094979	0
ENSMUSG00000103448	0
ENSMUSG00000088585	0
ENSMUSG00000048960	943
ENSMUSG00000077318	0
ENSMUSG00000103494	0
ENSMUSG00000057715	0
ENSMUSG00000103825	0
ENSMUSG00000103561	0
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097171	0
ENSMUSG00000101314	0
ENSMUSG00000016918	336
ENSMUSG00000025938	187
ENSMUSG00000104518	0
ENSMUSG00000099498	0
ENSMUSG00000042414	0
ENSMUSG00000005886	2251
ENSMUSG00000103506	56
ENSMUSG00000103495	77
ENSMUSG00000099183	0
ENSMUSG00000102639	21
ENSMUSG00000104170	110
ENSMUSG00000087782	26
ENSMUSG00000103085	431
ENSMUSG00000102664	215
ENSMUSG00000101476	3
ENSMUSG00000025935	2377
ENSMUSG00000025937	256
ENSMUSG00000102982	24
ENSMUSG00000067813	0
ENSMUSG00000077368	0
ENSMUSG00000102166	0
ENSMUSG00000089358	0
ENSMUSG00000104209	0
ENSMUSG00000025932	225
ENSMUSG00000095853	0
ENSMUSG00000102588	1
ENSMUSG00000054493	8
ENSMUSG00000025930	53
ENSMUSG00000103492	3
ENSMUSG00000032769	0
ENSMUSG00000088159	0
ENSMUSG00000092083	0
ENSMUSG00000102937	0
ENSMUSG00000104149	0
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000025925	420
ENSMUSG00000104379	31
ENSMUSG00000032719	8
ENSMUSG00000088943	0
ENSMUSG00000067795	0
ENSMUSG00000043716	9956
ENSMUSG00000025921	364
ENSMUSG00000104165	0
ENSMUSG00000100868	0
ENSMUSG00000025920	173
ENSMUSG00000089982	0
ENSMUSG00000025939	644
ENSMUSG00000102457	3
ENSMUSG00000079658	565
ENSMUSG00000097744	1
ENSMUSG00000025940	237
ENSMUSG00000025779	138
ENSMUSG00000101640	0
ENSMUSG00000104133	0
ENSMUSG00000042686	14
ENSMUSG00000100110	0
ENSMUSG00000025777	0
ENSMUSG00000099899	0
ENSMUSG00000089534	0
ENSMUSG00000067780	102
ENSMUSG00000100053	38
ENSMUSG00000085125	173
ENSMUSG00000025776	333
ENSMUSG00000099895	0
ENSMUSG00000099473	0
ENSMUSG00000109887	0
ENSMUSG00000101717	0
ENSMUSG00000025774	0
ENSMUSG00000073735	0
ENSMUSG00000067773	0
ENSMUSG00000088800	0
ENSMUSG00000089787	0
ENSMUSG00000042596	0
ENSMUSG00000025927	0
ENSMUSG00000100538	0
ENSMUSG00000084668	0
ENSMUSG00000102597	0
ENSMUSG00000043760	2
ENSMUSG00000104095	1
ENSMUSG00000089914	0
ENSMUSG00000070175	0
ENSMUSG00000099906	0
ENSMUSG00000065559	0
ENSMUSG00000065480	0
ENSMUSG00000025929	0
ENSMUSG00000041872	0
ENSMUSG00000041859	629
ENSMUSG00000102121	0
ENSMUSG00000088858	0
ENSMUSG00000097934	0
ENSMUSG00000025931	96
ENSMUSG00000077314	0
ENSMUSG00000041809	20
ENSMUSG00000041779	876
ENSMUSG00000099971	0
ENSMUSG00000025933	24
ENSMUSG00000102633	0
ENSMUSG00000025934	239
ENSMUSG00000099343	2
ENSMUSG00000025936	373
ENSMUSG00000067750	12
ENSMUSG00000041722	4
ENSMUSG00000085079	0
ENSMUSG00000028033	234
ENSMUSG00000104138	24
ENSMUSG00000103748	62
ENSMUSG00000041670	0
ENSMUSG00000101227	0
ENSMUSG00000073730	0
ENSMUSG00000089553	0
ENSMUSG00000102766	0
ENSMUSG00000065405	1
ENSMUSG00000097970	22
ENSMUSG00000065567	0
ENSMUSG00000100775	0
ENSMUSG00000026158	641
ENSMUSG00000099503	0
ENSMUSG00000026156	0
ENSMUSG00000026155	837
ENSMUSG00000026154	104
ENSMUSG00000102495	0
ENSMUSG00000026153	228
ENSMUSG00000102398	0
ENSMUSG00000026147	1
ENSMUSG00000026141	58
ENSMUSG00000077463	0
ENSMUSG00000073725	1956
ENSMUSG00000100483	0
